COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;COD_GRUPO;Desc Grupo;
000000;XXXXXXXXXXXXXXXXXXXXXXXX;;05;0506;0506;MOVEIS;MOVEIS TERRACO;MOVEIS TERRACO;0000;;
000004;CONJUNTO DE MOVEIS EST. MENPHI;;;;;;;;1000;MOVEIS;
000005;DIVISAO ESQUERDA ROUPEIRO MONT SERRAT TB;;05;0501;050101;MOVEIS;MOVEIS QUARTO;MOVEIS QUARTO GUARDA-ROUPA;1000;MOVEIS;
000007;CARRO DE CHA A 70 IMBUIA;;;;;;;;1000;MOVEIS;
000011;ESTANTE A 142 ASTECA 2 C. C.L.;;;;;;;;1000;MOVEIS;
000012;ESTANTE A 143 ASTECA 3 C. C.L.;;;;;;;;1000;MOVEIS;
000013;ESTANTE A 212 LYON 2 C. P.L.;;;;;;;;1000;MOVEIS;
000016;COLCHAO CLINOFLEX SM D 33 0,88 X 1,88 X 18;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000017;COLCHAO CLINOFLEX SM D 33 1,38 X 1,88 X 18;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000018;COLCHAO CLINOPEDICO LIN. II LX;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000019;COLCHAO COLCHAOFLEX PLUS  78 X;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000021;COLCHAO COLCHAOFLEX PLUS  88 X;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000022;COLCHAO COLCHAOFLEX LX MAXI  8;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000023;COLCHAO COLCHAOFLEX PLUS 128 X;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000024;COLCHAO COLCHAOFLEX LX MAXI 12;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000025;COLCHAO COLCHONFLEX LISO 23 128 X 14;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000026;COLCHAO COLCHAOFLEX LX MAXI 13;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000027;COLCHAO MEDALHAO D 23  88 X 14;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000028;COLCHAO MEDALHAO LISON 230 138;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000029;COLCHAO CLINOPEDICO 0,88 X 1,88 X 0,20;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000030;COLCHAO CLINOPEDICO 1,38 X 1,88 X 0,20;;05;0509;050901;MOVEIS;MOVEIS COLCHAO;MOVEIS COLCHAO COLCHAO;1005;COLCHAO;
000033;ASPIRADOR PORTATIL APA;;03;0303;030303;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS ASPIRADOR;1006;ELETROPORTATEIS;
000035;BATEDEIRA BPA PLANETARIA;;03;0303;030301;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS BATEDEIRA;1006;ELETROPORTATEIS;
000036;BATEDEIRA CIRANDA SUPER NBCS;;;;;;;;1006;ELETROPORTATEIS;
000037;BATEDEIRA NBCA NOVA CIRANDA;;03;0303;030301;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS BATEDEIRA;1006;ELETROPORTATEIS;
000041;LAVADOURA SECADORA GEMINI LAVG;;;;;;;;1000;MOVEIS;
000042;LAVADOURA SUPER LAVS;;;;;;;;1000;MOVEIS;
000044;LIQUIDIFICADOR NLA;;03;0303;030306;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS LIQUIDIFICADOR;1006;ELETROPORTATEIS;
000045;LIQUIDIFICADOR NLS;;;;;;;;1006;ELETROPORTATEIS;
000046;LIQUIDIFICADOR WWB5 MAGICLEAN;;03;0303;030306;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS LIQUIDIFICADOR;1006;ELETROPORTATEIS;
000048;PREPARADOR DE ALIMENTO ROBOT R;;;;;;;;1000;MOVEIS;
000049;PREPARADORA DE ALIMENTO CITROC;;;;;;;;1000;MOVEIS;
000050;PREPARADOR DE ALIMENTO KITCHEN;;;;;;;;1000;MOVEIS;
000052;SECADOR CABELO ELIELA SECB;;;;;;;;1006;ELETROPORTATEIS;
000054;TURBO CIRCUL.TURBOFAN 220V TFAN;;;;;;;;1006;ELETROPORTATEIS;
000055;TURBO CIRCULADOR 40 CM T 16 G;;;;;;;;1006;ELETROPORTATEIS;
000057;VENTILADOR 25 CM M GR MET V 10;;;;;;;;1000;MOVEIS;
000058;VENTILADOR 25 CM V 10;;;;;;;;1000;MOVEIS;
000059;VENTILADOR 30 CM NV 12;;01;;01;TECNOLOGIA;;TECNOLOGIA;1006;ELETROPORTATEIS;
000060;VENTILADOR 40 CM NV 16;;03;0302;030205;ELETRO;ELETRO AR E VENTILACAO;ELETRO AR E VENTILACAO VENTILADOR;1006;ELETROPORTATEIS;
000061;VENTILADOR 20 CM JR VAJ;;;;;;;;1000;MOVEIS;
000063;MULTIPROCESSADOR TRITON NPRT;;;;;;;;1006;ELETROPORTATEIS;
000065;ESPREMEDOR DE FRUTAS EFA;;03;0303;030307;ELETRO;ELETRO ELETROPORTATEIS;ELETRO ELETROPORTATEIS ESPREMEDOR;1006;ELETROPORTATEIS;
000066;ESPREMEDOR FRUTAS NEAS;;;;;;;;1006;ELETROPORTATEIS;
000068;ENCERADEIRA EA1;;;;;;;;1006;ELETROPORTATEIS;
000069;ENCERADEIRA ENA;;;;;;;;1006;ELETROPORTATEIS;
000072;VELOCIPEDE BAMBOLA          99;;;;;;;;1013;BRINQUEDOS;
