COD_PRODUTO;PRODUTO;FORNECEDOR;COD_CLASS1;COD_CLASS2;COD_CLASSIFICACAO;CLASS1;CLASS2;CLASSIFICACAO;Cod Grupo;Desc Grupo;ATIVO;
000633;TV COLOR TVC 163 R;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
000820;TV COLOR TVC   140 R;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1000;MOVEIS;N;
000924;TELEVISOR COR 28 CT 7690;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1000;MOVEIS;N;
001187;TV B PRETO 17;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
001256;TV TVC 100;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1000;MOVEIS;N;
001308;TELEVISOR PB TELEFUNKEN MOD. 1;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1000;MOVEIS;N;
001592;TV A CORES 20 DIG. CTP 6790 U;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
001638;TV A CORES 14 DIG. CTP 3790;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
001746;TV COLOR TVC 162 R;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
001747;TV COLOR TVC 144 CR;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
001834;TV COLOR TVC 144;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
001861;TV COLOR TVC 142 VS;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
001986;TELEVISOR P B TV1200;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1000;MOVEIS;N;
002007;TV 14 TECLAS;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
002008;TV 20 TECLAS;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
002038;TV BRANCO E PRETO 17 PB 17A2;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1000;MOVEIS;N;
002091;TV COR 14 MOD. C 1432B;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1000;MOVEIS;N;
002092;TV COR 14 C CR C 1485B;;01;0101;010101;TECNOLOGIA;TECNOLOGIA TV E VIDEO;TECNOLOGIA TV E VIDEO TV;1003;TV E VIDEO;N;
