,ENTREGA,CHIP CLARO ODA 128KB TRIPE,GE1 ELETROPORTATEIS,CHIP VIVO 4G 128K P19 HRS PRE,GE2 CELULAR,CHIP OI 4G 128KB,GE1 CELULAR,CHIP TIM INFINITY PRE HRD TRIPLO 4G,VENTILADOR 30 NV-15 3P BR 220V,CHIP TIM INFINITY PRE DUPLO 4G HDR NACIONAL
2015-01-02,5.0,0.0,10.0,1.0,0.0,0.0,3.0,0.0,0.0,15.0
2015-01-03,4.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,1.0,12.0
2015-01-05,9.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,1.0,30.0
2015-01-06,12.0,0.0,3.0,0.0,0.0,0.0,7.0,0.0,0.0,17.0
2015-01-07,4.0,0.0,8.0,2.0,0.0,0.0,5.0,0.0,1.0,22.0
2015-01-08,14.0,0.0,9.0,5.0,0.0,0.0,11.0,0.0,5.0,19.0
2015-01-09,6.0,0.0,12.0,7.0,1.0,0.0,6.0,0.0,6.0,18.0
2015-01-10,7.0,0.0,11.0,5.0,0.0,0.0,8.0,0.0,16.0,25.0
2015-01-12,5.0,0.0,5.0,0.0,1.0,0.0,4.0,0.0,6.0,36.0
2015-01-13,4.0,0.0,3.0,1.0,0.0,0.0,7.0,0.0,4.0,12.0
2015-01-14,3.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,4.0,12.0
2015-01-15,4.0,0.0,5.0,0.0,0.0,0.0,6.0,0.0,9.0,7.0
2015-01-16,6.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,4.0,16.0
2015-01-17,4.0,0.0,11.0,0.0,1.0,0.0,5.0,0.0,5.0,12.0
2015-01-19,2.0,0.0,16.0,0.0,0.0,0.0,9.0,0.0,12.0,14.0
2015-01-20,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,3.0,18.0
2015-01-21,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0
2015-01-22,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
2015-01-23,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,8.0
2015-01-24,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0
2015-01-26,3.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,14.0
2015-01-27,2.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,12.0
2015-01-28,0.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,10.0
2015-01-29,0.0,0.0,3.0,5.0,0.0,0.0,4.0,0.0,0.0,11.0
2015-01-30,0.0,0.0,9.0,4.0,0.0,0.0,2.0,0.0,0.0,15.0
2015-01-31,0.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,11.0
2015-02-02,1.0,0.0,1.0,6.0,0.0,0.0,5.0,0.0,23.0,6.0
2015-02-03,6.0,0.0,7.0,10.0,0.0,0.0,4.0,0.0,0.0,9.0
2015-02-04,5.0,0.0,4.0,3.0,0.0,0.0,6.0,0.0,0.0,15.0
2015-02-05,8.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,11.0
2015-02-06,7.0,0.0,6.0,1.0,1.0,0.0,3.0,0.0,0.0,11.0
2015-02-07,7.0,0.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,14.0
2015-02-09,5.0,0.0,17.0,3.0,1.0,0.0,7.0,0.0,3.0,16.0
2015-02-10,7.0,0.0,10.0,0.0,0.0,0.0,4.0,0.0,3.0,9.0
2015-02-11,4.0,0.0,5.0,2.0,0.0,0.0,4.0,0.0,0.0,7.0
2015-02-12,5.0,0.0,11.0,2.0,0.0,0.0,5.0,0.0,5.0,12.0
2015-02-13,5.0,0.0,7.0,4.0,0.0,0.0,1.0,0.0,2.0,6.0
2015-02-14,6.0,0.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,7.0
2015-02-18,0.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,9.0
2015-02-19,8.0,0.0,2.0,3.0,0.0,0.0,7.0,0.0,9.0,14.0
2015-02-20,4.0,0.0,8.0,3.0,1.0,0.0,3.0,0.0,10.0,7.0
