,Mes,Ano,Categoria,Produto,Compra sugerida,Venda prevista,Venda anterior,Estoque atual,Estoque anterior,Valor venda,Valor anterior,Cobertura
0,3.0,2021.0,MOVEIS,MOVEIS,-11480.0,4046.0,6095.0,15526.0,15577.0,0.0,0.0,60
1,3.0,2021.0,COLCHAO,COLCHAO,-2453.0,2057.0,2504.0,4510.0,3918.0,0.0,0.0,53
2,3.0,2021.0,ELETROPORTATEIS,ELETROPORTATEIS,-12018.0,6685.0,5996.0,18703.0,20046.0,0.0,0.0,48
3,3.0,2021.0,BRINQUEDOS,BRINQUEDOS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
4,3.0,2021.0,INFORMATICA,INFORMATICA,-2480.0,415.0,277.0,2895.0,3015.0,0.0,0.0,81
5,3.0,2021.0,ELETRODOMESTICOS,ELETRODOMESTICOS,-5332.0,3814.0,3981.0,9146.0,8761.0,0.0,0.0,45
6,3.0,2021.0,UTILIDADES DOMESTICAS,UTILIDADES DOMESTICAS,-15552.0,2563.0,2956.0,18115.0,18015.0,0.0,0.0,102
7,3.0,2021.0,ESPORTE E FITNESS,ESPORTE E FITNESS,-4946.0,764.0,1149.0,5710.0,6168.0,0.0,0.0,103
8,3.0,2021.0,TV E VIDEO,TV E VIDEO,-2924.0,3725.0,2772.0,6649.0,7137.0,0.0,0.0,34
9,3.0,2021.0,AUDIO E SOM,AUDIO E SOM,-2812.0,410.0,601.0,3222.0,2990.0,0.0,0.0,116
10,3.0,2021.0,AR E VENTILACAO,AR E VENTILACAO,-15157.0,6527.0,9353.0,21684.0,22418.0,0.0,0.0,83
11,3.0,2021.0,CELULAR,CELULAR,-3450.0,16896.0,17001.0,20346.0,23506.0,0.0,0.0,24
12,3.0,2021.0,AUTOMOTIVO,AUTOMOTIVO,-140.0,63.0,29.0,203.0,235.0,0.0,0.0,83
13,3.0,2021.0,BELEZA E SAUDE,BELEZA E SAUDE,-9621.0,1816.0,1580.0,11437.0,12117.0,0.0,0.0,90
14,3.0,2021.0,GAME,GAME,-5.0,2.0,0.0,7.0,7.0,0.0,0.0,100
15,3.0,2021.0,BEBES,BEBES,-2.0,0.0,1.0,2.0,3.0,0.0,0.0,365
16,3.0,2021.0,RELOGIO,RELOGIO,-45.0,55.0,14.0,100.0,105.0,0.0,0.0,28
17,3.0,2021.0,USO E CONSUMO,USO E CONSUMO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
