,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2015-01-08,-2.341722856596209,-7.343172482961491,5.682450644968882,-2.341722856596209,-2.341722856596209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.409364567524913,1.409364567524913,1.409364567524913,0.0,0.0,0.0,1.409364567524913,1.409364567524913,1.409364567524913,0.0,0.0,0.0,-0.932358289071296
1,2015-01-15,-2.1994162787773073,-7.876035189083,5.042376068852421,-2.1994162787773073,-2.1994162787773073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74349005644473,0.74349005644473,0.74349005644473,0.0,0.0,0.0,0.74349005644473,0.74349005644473,0.74349005644473,0.0,0.0,0.0,-1.4559262223325773
2,2015-01-22,-2.0571097009584056,-9.112572075193567,4.488155820167171,-2.0571097009584056,-2.0571097009584056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07831139774276197,-0.07831139774276197,-0.07831139774276197,0.0,0.0,0.0,-0.07831139774276197,-0.07831139774276197,-0.07831139774276197,0.0,0.0,0.0,-2.1354210987011677
3,2015-01-29,-1.914803123139504,-8.93613987101144,3.839839063737671,-1.914803123139504,-1.914803123139504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7164560136441265,-0.7164560136441265,-0.7164560136441265,0.0,0.0,0.0,-0.7164560136441265,-0.7164560136441265,-0.7164560136441265,0.0,0.0,0.0,-2.6312591367836307
4,2015-02-05,-1.7724965453206025,-8.598893250405887,4.126249498749841,-1.7724965453206025,-1.7724965453206025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8578622331656495,-0.8578622331656495,-0.8578622331656495,0.0,0.0,0.0,-0.8578622331656495,-0.8578622331656495,-0.8578622331656495,0.0,0.0,0.0,-2.630358778486252
5,2015-02-12,-1.6301899675017006,-9.200754611453924,4.398618444321073,-1.6301899675017006,-1.6301899675017006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5079615288610525,-0.5079615288610525,-0.5079615288610525,0.0,0.0,0.0,-0.5079615288610525,-0.5079615288610525,-0.5079615288610525,0.0,0.0,0.0,-2.1381514963627533
6,2015-02-19,-1.4878833932874431,-7.834265215291786,4.840090032286221,-1.4878833932874431,-1.4878833932874431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13026834593517655,-0.13026834593517655,-0.13026834593517655,0.0,0.0,0.0,-0.13026834593517655,-0.13026834593517655,-0.13026834593517655,0.0,0.0,0.0,-1.6181517392226197
7,2015-02-26,-1.3455768190731852,-8.222001274730223,4.908647290262891,-1.3455768190731852,-1.3455768190731852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3084135941050796,-0.3084135941050796,-0.3084135941050796,0.0,0.0,0.0,-0.3084135941050796,-0.3084135941050796,-0.3084135941050796,0.0,0.0,0.0,-1.6539904131782648
8,2015-03-05,-1.2032702448589274,-8.779730828102986,3.811123975858961,-1.2032702448589274,-1.2032702448589274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1217152662927001,-1.1217152662927001,-1.1217152662927001,0.0,0.0,0.0,-1.1217152662927001,-1.1217152662927001,-1.1217152662927001,0.0,0.0,0.0,-2.3249855111516275
9,2015-03-12,-1.0609636706446695,-9.654687058941692,3.6607298507948776,-1.0609636706446695,-1.0609636706446695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9494170255718075,-1.9494170255718075,-1.9494170255718075,0.0,0.0,0.0,-1.9494170255718075,-1.9494170255718075,-1.9494170255718075,0.0,0.0,0.0,-3.010380696216477
