ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-01,2018-01-01,71.19693707555844,-7.937701492794436,79.90345951310508,71.19693707555844,71.19693707555844,-15.931315755448276,-15.931315755448276,-15.931315755448276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.48952315401324,-34.48952315401324,-34.48952315401324,-15.931315755448276,-15.931315755448276,-15.931315755448276,3.2197905649961918,3.2197905649961918,3.2197905649961918,-21.77799796356116,-21.77799796356116,-21.77799796356116,0.0,0.0,0.0,36.707413921545196
2018-01-02,2018-01-02,71.13470985760091,9.849583806753984,95.65616739986305,71.13470985760091,71.13470985760091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.372330524549316,-19.372330524549316,-19.372330524549316,0.0,0.0,0.0,2.6427172419328873,2.6427172419328873,2.6427172419328873,-22.0150477664822,-22.0150477664822,-22.0150477664822,0.0,0.0,0.0,51.7623793330516
2018-01-03,2018-01-03,71.07248263964338,6.198145716193496,94.82917516036221,71.07248263964338,71.07248263964338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-20.28336465824736,-20.28336465824736,-20.28336465824736,0.0,0.0,0.0,1.6700641366063653,1.6700641366063653,1.6700641366063653,-21.95342879485373,-21.95342879485373,-21.95342879485373,0.0,0.0,0.0,50.78911798139602
2018-01-04,2018-01-04,71.01025542168586,7.160917646014578,95.6816717790011,71.01025542168586,71.01025542168586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.036829395617687,-19.036829395617687,-19.036829395617687,0.0,0.0,0.0,2.5529295460876527,2.5529295460876527,2.5529295460876527,-21.58975894170534,-21.58975894170534,-21.58975894170534,0.0,0.0,0.0,51.97342602606817
2018-01-05,2018-01-05,70.94802820372833,14.83182671176892,98.87157529325218,70.94802820372833,70.94802820372833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.57382524776643,-14.57382524776643,-14.57382524776643,0.0,0.0,0.0,6.3532735718861595,6.3532735718861595,6.3532735718861595,-20.92709881965259,-20.92709881965259,-20.92709881965259,0.0,0.0,0.0,56.3742029559619
2018-01-06,2018-01-06,70.8858009857708,12.807045237906024,99.58802447938717,70.8858009857708,70.8858009857708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.01171501077133,-16.01171501077133,-16.01171501077133,0.0,0.0,0.0,3.9633153895621476,3.9633153895621476,3.9633153895621476,-19.97503040033348,-19.97503040033348,-19.97503040033348,0.0,0.0,0.0,54.874085974999474
2018-01-07,2018-01-07,70.82357376781327,-10.036472551839568,75.90443284959655,70.82357376781327,70.82357376781327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.15166200673043,-39.15166200673043,-39.15166200673043,0.0,0.0,0.0,-20.40209045100569,-20.40209045100569,-20.40209045100569,-18.74957155572474,-18.74957155572474,-18.74957155572474,0.0,0.0,0.0,31.67191176108284
2018-01-08,2018-01-08,70.76134654985574,15.086317757058929,100.96019897849744,70.76134654985574,70.76134654985574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.05313605523628,-14.05313605523628,-14.05313605523628,0.0,0.0,0.0,3.2197905649533793,3.2197905649533793,3.2197905649533793,-17.272926620189654,-17.272926620189654,-17.272926620189654,0.0,0.0,0.0,56.708210494619465
2018-01-09,2018-01-09,70.69911933189822,14.999048590512071,100.7834789295122,70.69911933189822,70.69911933189822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.930360246486913,-12.930360246486913,-12.930360246486913,0.0,0.0,0.0,2.6427172419058884,2.6427172419058884,2.6427172419058884,-15.573077488392801,-15.573077488392801,-15.573077488392801,0.0,0.0,0.0,57.768759085411304
2018-01-10,2018-01-10,70.63689211394069,8.754325179322988,102.17210322570418,70.63689211394069,70.63689211394069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.013159922786542,-12.013159922786542,-12.013159922786542,0.0,0.0,0.0,1.6700641365911237,1.6700641365911237,1.6700641365911237,-13.683224059377665,-13.683224059377665,-13.683224059377665,0.0,0.0,0.0,58.62373219115415
2018-01-11,2018-01-11,70.57466489598316,19.92016405609974,103.92768679287528,70.57466489598316,70.57466489598316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.088157366839189,-9.088157366839189,-9.088157366839189,0.0,0.0,0.0,2.5529295461055552,2.5529295461055552,2.5529295461055552,-11.641086912944743,-11.641086912944743,-11.641086912944743,0.0,0.0,0.0,61.48650752914397
2018-01-12,2018-01-12,70.51243767802563,24.961659680701906,109.70020409118513,70.51243767802563,70.51243767802563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1348152765912416,-3.1348152765912416,-3.1348152765912416,0.0,0.0,0.0,6.353273571877595,6.353273571877595,6.353273571877595,-9.488088848468838,-9.488088848468838,-9.488088848468838,0.0,0.0,0.0,67.3776224014344
2018-01-13,2018-01-13,70.4502104600681,24.068463230073526,108.8075021226834,70.4502104600681,70.4502104600681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3051198362780334,-3.3051198362780334,-3.3051198362780334,0.0,0.0,0.0,3.963315389568723,3.963315389568723,3.963315389568723,-7.268435225846757,-7.268435225846757,-7.268435225846757,0.0,0.0,0.0,67.14509062379007
2018-01-14,2018-01-14,70.38798324211058,1.8978535445202316,85.50172522329802,70.38798324211058,70.38798324211058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.43020628303027,-25.43020628303027,-25.43020628303027,0.0,0.0,0.0,-20.40209045100678,-20.40209045100678,-20.40209045100678,-5.028115832023491,-5.028115832023491,-5.028115832023491,0.0,0.0,0.0,44.957776959080306
2018-01-15,2018-01-15,70.32575602415305,26.738298756222115,112.91635156752095,70.32575602415305,70.32575602415305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4059373869276031,0.4059373869276031,0.4059373869276031,0.0,0.0,0.0,3.2197905649790077,3.2197905649790077,3.2197905649790077,-2.813853178051405,-2.813853178051405,-2.813853178051405,0.0,0.0,0.0,70.73169341108066
2018-01-16,2018-01-16,70.26352880619552,30.734255486156272,111.37596705152473,70.26352880619552,70.26352880619552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9706935902545024,1.9706935902545024,1.9706935902545024,0.0,0.0,0.0,2.642717241915079,2.642717241915079,2.642717241915079,-0.6720236516605766,-0.6720236516605766,-0.6720236516605766,0.0,0.0,0.0,72.23422239645002
2018-01-17,2018-01-17,70.201301588238,28.834403855318108,115.12023470164961,70.201301588238,70.201301588238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0224853701687957,3.0224853701687957,3.0224853701687957,0.0,0.0,0.0,1.6700641365758835,1.6700641365758835,1.6700641365758835,1.3524212335929136,1.3524212335929136,1.3524212335929136,0.0,0.0,0.0,73.22378695840679
2018-01-18,2018-01-18,70.13907437028045,29.066129689700478,116.85136590440806,70.13907437028045,70.13907437028045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.769935706383702,5.769935706383702,5.769935706383702,0.0,0.0,0.0,2.552929546057069,2.552929546057069,2.552929546057069,3.2170061603266316,3.2170061603266316,3.2170061603266316,0.0,0.0,0.0,75.90901007666416
