ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-01,2018-01-01,1.9353655326737227,-4.40244807630001,4.236463530759823,1.9353655326737227,1.9353655326737227,-2.5592970075513635,-2.5592970075513635,-2.5592970075513635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9039871156965322,-1.9039871156965322,-1.9039871156965322,-2.5592970075513635,-2.5592970075513635,-2.5592970075513635,0.048197862224848766,0.048197862224848766,0.048197862224848766,0.6071120296299826,0.6071120296299826,0.6071120296299826,0.0,0.0,0.0,0.03137841697719046
2018-01-02,2018-01-02,1.935961091227497,-1.7435233400301104,6.949306188713911,1.935961091227497,1.935961091227497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6831147414571548,0.6831147414571548,0.6831147414571548,0.0,0.0,0.0,0.15280173953738768,0.15280173953738768,0.15280173953738768,0.5303130019197672,0.5303130019197672,0.5303130019197672,0.0,0.0,0.0,2.6190758326846515
2018-01-03,2018-01-03,1.9365566497812712,-1.5671680099374088,6.28437586169456,1.9365566497812712,1.9365566497812712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3702545389653447,0.3702545389653447,0.3702545389653447,0.0,0.0,0.0,-0.07568169748005174,-0.07568169748005174,-0.07568169748005174,0.44593623644539643,0.44593623644539643,0.44593623644539643,0.0,0.0,0.0,2.306811188746616
2018-01-04,2018-01-04,1.9371522083350456,-2.2803346378324028,6.724006396149942,1.9371522083350456,1.9371522083350456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3364537297818535,0.3364537297818535,0.3364537297818535,0.0,0.0,0.0,-0.01895175958179681,-0.01895175958179681,-0.01895175958179681,0.35540548936365035,0.35540548936365035,0.35540548936365035,0.0,0.0,0.0,2.273605938116899
2018-01-05,2018-01-05,1.9377477668888197,-2.0257166683345984,6.786104529949232,1.9377477668888197,1.9377477668888197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5218025755221041,0.5218025755221041,0.5218025755221041,0.0,0.0,0.0,0.26149438224931004,0.26149438224931004,0.26149438224931004,0.26030819327279386,0.26030819327279386,0.26030819327279386,0.0,0.0,0.0,2.4595503424109237
2018-01-06,2018-01-06,1.938343325442594,-2.4486330037256625,6.253189006275141,1.938343325442594,1.938343325442594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21917288276869845,0.21917288276869845,0.21917288276869845,0.0,0.0,0.0,0.05682423425742983,0.05682423425742983,0.05682423425742983,0.16234864851126865,0.16234864851126865,0.16234864851126865,0.0,0.0,0.0,2.1575162082112924
2018-01-07,2018-01-07,1.9389388839963682,-2.5384544654919976,5.772615725538252,1.9389388839963682,1.9389388839963682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.36138589505468494,-0.36138589505468494,-0.36138589505468494,0.0,0.0,0.0,-0.424684761205829,-0.424684761205829,-0.424684761205829,0.06329886615114401,0.06329886615114401,0.06329886615114401,0.0,0.0,0.0,1.5775529889416833
2018-01-08,2018-01-08,1.9395344425501426,-2.3579889508116194,6.0338626339953345,1.9395344425501426,1.9395344425501426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01314631173568447,0.01314631173568447,0.01314631173568447,0.0,0.0,0.0,0.048197862224020394,0.048197862224020394,0.048197862224020394,-0.03505155048833592,-0.03505155048833592,-0.03505155048833592,0.0,0.0,0.0,1.952680754285827
2018-01-09,2018-01-09,1.9401300011039169,-2.5563275294037076,6.360849987236005,1.9401300011039169,1.9401300011039169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021856644952468196,0.021856644952468196,0.021856644952468196,0.0,0.0,0.0,0.15280173953701318,0.15280173953701318,0.15280173953701318,-0.13094509458454495,-0.13094509458454495,-0.13094509458454495,0.0,0.0,0.0,1.961986646056385
2018-01-10,2018-01-10,1.9407255596576911,-2.772063492373254,6.075541758217497,1.9407255596576911,1.9407255596576911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2983859545539071,-0.2983859545539071,-0.2983859545539071,0.0,0.0,0.0,-0.0756816974803466,-0.0756816974803466,-0.0756816974803466,-0.22270425707356048,-0.22270425707356048,-0.22270425707356048,0.0,0.0,0.0,1.642339605103784
2018-01-11,2018-01-11,1.9413211182114654,-2.692035944086334,5.942159958954088,1.9413211182114654,1.9413211182114654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.32772811220268905,-0.32772811220268905,-0.32772811220268905,0.0,0.0,0.0,-0.018951759581410665,-0.018951759581410665,-0.018951759581410665,-0.30877635262127845,-0.30877635262127845,-0.30877635262127845,0.0,0.0,0.0,1.6135930060087764
2018-01-12,2018-01-12,1.9419166767652396,-2.592530672606548,5.955838998960986,1.9419166767652396,1.9419166767652396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1262797042482484,-0.1262797042482484,-0.1262797042482484,0.0,0.0,0.0,0.26149438224926796,0.26149438224926796,0.26149438224926796,-0.3877740864975163,-0.3877740864975163,-0.3877740864975163,0.0,0.0,0.0,1.8156369725169912
2018-01-13,2018-01-13,1.9425122353190138,-2.3502634066821626,6.02167776942717,1.9425122353190138,1.9425122353190138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40168657906742367,-0.40168657906742367,-0.40168657906742367,0.0,0.0,0.0,0.05682423425792859,0.05682423425792859,0.05682423425792859,-0.45851081332535226,-0.45851081332535226,-0.45851081332535226,0.0,0.0,0.0,1.5408256562515903
2018-01-14,2018-01-14,1.943107793872788,-3.2464689154501136,5.566085712216738,1.943107793872788,1.943107793872788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9447143613558634,-0.9447143613558634,-0.9447143613558634,0.0,0.0,0.0,-0.4246847612058358,-0.4246847612058358,-0.4246847612058358,-0.5200296001500275,-0.5200296001500275,-0.5200296001500275,0.0,0.0,0.0,0.9983934325169247
2018-01-15,2018-01-15,1.9437033524265623,-2.8245542635716197,5.586189599456737,1.9437033524265623,1.9437033524265623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5234275274443384,-0.5234275274443384,-0.5234275274443384,0.0,0.0,0.0,0.04819786222450487,0.04819786222450487,0.04819786222450487,-0.5716253896688432,-0.5716253896688432,-0.5716253896688432,0.0,0.0,0.0,1.420275824982224
2018-01-16,2018-01-16,1.9442989109803368,-2.9462259468763086,5.703440313693958,1.9442989109803368,1.9442989109803368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46005801997151735,-0.46005801997151735,-0.46005801997151735,0.0,0.0,0.0,0.15280173953726842,0.15280173953726842,0.15280173953726842,-0.6128597595087859,-0.6128597595087859,-0.6128597595087859,0.0,0.0,0.0,1.4842408910088194
