ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-31,2018-01-31,205.03658853548944,1622.1869556589315,2444.8379488863684,205.03658853548944,205.03658853548944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1844.8622810786435,1844.8622810786435,1844.8622810786435,0.0,0.0,0.0,1844.8622810786435,1844.8622810786435,1844.8622810786435,0.0,0.0,0.0,2049.8988696141328
2018-02-28,2018-02-28,151.11629450397876,1370.9741402586571,2150.5289139410147,151.11629450397876,151.11629450397876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588.639623283445,1588.639623283445,1588.639623283445,0.0,0.0,0.0,1588.639623283445,1588.639623283445,1588.639623283445,0.0,0.0,0.0,1739.7559177874236
2018-03-31,2018-03-31,91.41882610507108,2555.7426165677225,3370.550796373731,91.41882610507108,91.41882610507108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528.3748032172741,1528.3748032172741,1528.3748032172741,2856.183854181705,2856.183854181705,2856.183854181705,1528.3748032172741,1528.3748032172741,1528.3748032172741,1327.809050964431,1327.809050964431,1327.809050964431,0.0,0.0,0.0,2947.6026802867764
2018-04-30,2018-04-30,33.647082504240416,1629.3951985672622,2390.584012141391,33.647082504240416,33.647082504240416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1971.5344530407162,1971.5344530407162,1971.5344530407162,0.0,0.0,0.0,1971.5344530407162,1971.5344530407162,1971.5344530407162,0.0,0.0,0.0,2005.1815355449567
2018-05-31,2018-05-31,-26.0503858719352,1073.4583918887681,1874.577391747089,-26.0503858719352,-26.0503858719352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1519.1464166369374,1519.1464166369374,1519.1464166369374,0.0,0.0,0.0,1519.1464166369374,1519.1464166369374,1519.1464166369374,0.0,0.0,0.0,1493.096030765002
2018-06-30,2018-06-30,-83.82212944903323,1264.2999357174583,2062.446235693011,-83.82212944903323,-83.82212944903323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1749.7996276343843,1749.7996276343843,1749.7996276343843,0.0,0.0,0.0,1749.7996276343843,1749.7996276343843,1749.7996276343843,0.0,0.0,0.0,1665.9774981853511
2018-07-31,2018-07-31,-143.51959782666967,1545.440072599769,2334.512752659383,-143.51959782666967,-143.51959782666967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2082.597887464423,2082.597887464423,2082.597887464423,0.0,0.0,0.0,2082.597887464423,2082.597887464423,2082.597887464423,0.0,0.0,0.0,1939.0782896377532
2018-08-31,2018-08-31,-203.21706621653337,1512.291266025341,2368.148893297904,-203.21706621653337,-203.21706621653337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2122.9395456177167,2122.9395456177167,2122.9395456177167,0.0,0.0,0.0,2122.9395456177167,2122.9395456177167,2122.9395456177167,0.0,0.0,0.0,1919.7224794011834
2018-09-30,2018-09-30,-260.9888098196272,1363.4220229561374,2133.8728448589736,-260.9888098196272,-260.9888098196272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.6759043683824,2017.6759043683824,2017.6759043683824,0.0,0.0,0.0,2017.6759043683824,2017.6759043683824,2017.6759043683824,0.0,0.0,0.0,1756.687094548755
2018-10-31,2018-10-31,-320.68627821751,1287.4544069442063,2081.5427535675985,-320.68627821751,-320.68627821751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991.6542171420442,1991.6542171420442,1991.6542171420442,0.0,0.0,0.0,1991.6542171420442,1991.6542171420442,1991.6542171420442,0.0,0.0,0.0,1670.9679389245343
2018-11-30,2018-11-30,-378.458021826165,1506.8815213640157,2312.7730428199548,-378.458021826165,-378.458021826165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2269.8362605732154,2269.8362605732154,2269.8362605732154,0.0,0.0,0.0,2269.8362605732154,2269.8362605732154,2269.8362605732154,0.0,0.0,0.0,1891.3782387470505
2018-12-31,2018-12-31,-438.15549022281886,978.3063874246344,1801.605856743422,-438.15549022281886,-438.15549022281886,22126.851948627635,22126.851948627635,22126.851948627635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1855.151456127217,1855.151456127217,1855.151456127217,22126.851948627635,22126.851948627635,22126.851948627635,-20271.70049250042,-20271.70049250042,-20271.70049250042,0.0,0.0,0.0,1416.9959659043982
