ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-31,2018-01-31,325.12797509779824,133.63973727837845,294.2816647806378,325.12797509779824,325.12797509779824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-111.96482143470104,-111.96482143470104,-111.96482143470104,0.0,0.0,0.0,-111.96482143470104,-111.96482143470104,-111.96482143470104,0.0,0.0,0.0,213.1631536630972
2018-02-28,2018-02-28,322.82456174443763,234.38525335064887,386.7409865599127,322.82456174443763,322.82456174443763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.746413942838606,-10.746413942838606,-10.746413942838606,0.0,0.0,0.0,-10.746413942838606,-10.746413942838606,-10.746413942838606,0.0,0.0,0.0,312.078147801599
2018-03-31,2018-03-31,320.2743541003142,80.65741940278808,238.8532377318221,320.2743541003142,320.2743541003142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77.47254542898011,-77.47254542898011,-77.47254542898011,-158.29256885276803,-158.29256885276803,-158.29256885276803,-77.47254542898011,-77.47254542898011,-77.47254542898011,-80.82002342378793,-80.82002342378793,-80.82002342378793,0.0,0.0,0.0,161.98178524754618
2018-04-30,2018-04-30,317.80641121672545,179.62392336433547,333.63129171427124,317.80641121672545,317.80641121672545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58.9409878266797,-58.9409878266797,-58.9409878266797,0.0,0.0,0.0,-58.9409878266797,-58.9409878266797,-58.9409878266797,0.0,0.0,0.0,258.86542339004575
2018-05-31,2018-05-31,315.2562035747443,216.17176091455337,361.419173182056,315.2562035747443,315.2562035747443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23.644681145693593,-23.644681145693593,-23.644681145693593,0.0,0.0,0.0,-23.644681145693593,-23.644681145693593,-23.644681145693593,0.0,0.0,0.0,291.6115224290507
2018-06-30,2018-06-30,312.7882606950653,185.85986027174226,335.715768452846,312.7882606950653,312.7882606950653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55.11287989196411,-55.11287989196411,-55.11287989196411,0.0,0.0,0.0,-55.11287989196411,-55.11287989196411,-55.11287989196411,0.0,0.0,0.0,257.6753808031012
2018-07-31,2018-07-31,310.2380530556316,63.50395596816146,221.144397465252,310.2380530556316,310.2380530556316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-170.6144651054745,-170.6144651054745,-170.6144651054745,0.0,0.0,0.0,-170.6144651054745,-170.6144651054745,-170.6144651054745,0.0,0.0,0.0,139.62358795015712
2018-08-31,2018-08-31,307.68784541753604,93.93967886796163,242.16436732718952,307.68784541753604,307.68784541753604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-141.99498112724635,-141.99498112724635,-141.99498112724635,0.0,0.0,0.0,-141.99498112724635,-141.99498112724635,-141.99498112724635,0.0,0.0,0.0,165.6928642902897
2018-09-30,2018-09-30,305.21990254195975,123.96640283636053,281.82483970446003,305.21990254195975,305.21990254195975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.21339506047067,-100.21339506047067,-100.21339506047067,0.0,0.0,0.0,-100.21339506047067,-100.21339506047067,-100.21339506047067,0.0,0.0,0.0,205.00650748148908
2018-10-31,2018-10-31,302.6696948967651,162.87716700571204,314.22323730809745,302.6696948967651,302.6696948967651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.71585278080886,-65.71585278080886,-65.71585278080886,0.0,0.0,0.0,-65.71585278080886,-65.71585278080886,-65.71585278080886,0.0,0.0,0.0,236.95384211595626
2018-11-30,2018-11-30,300.20175200980236,368.8387486123443,526.2997884809132,300.20175200980236,300.20175200980236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.14529882422744,151.14529882422744,151.14529882422744,0.0,0.0,0.0,151.14529882422744,151.14529882422744,151.14529882422744,0.0,0.0,0.0,451.3470508340298
2018-12-31,2018-12-31,297.6515443491424,4.5524788351747985,161.7833797243507,297.6515443491424,297.6515443491424,-138.16744819738915,-138.16744819738915,-138.16744819738915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-216.65700155457756,-216.65700155457756,-216.65700155457756,-138.16744819738915,-138.16744819738915,-138.16744819738915,-78.48955335718843,-78.48955335718843,-78.48955335718843,0.0,0.0,0.0,80.99454279456484
2019-01-31,2019-01-31,295.10133669188303,219.42078273487184,372.1946839960759,295.10133669188303,295.10133669188303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05432832195062563,0.05432832195062563,0.05432832195062563,0.0,0.0,0.0,0.05432832195062563,0.05432832195062563,0.05432832195062563,0.0,0.0,0.0,295.15566501383364
2019-02-28,2019-02-28,292.7979233217261,98.09216589214462,258.6428072609154,292.7979233217261,292.7979233217261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-115.29070780345693,-115.29070780345693,-115.29070780345693,0.0,0.0,0.0,-115.29070780345693,-115.29070780345693,-115.29070780345693,0.0,0.0,0.0,177.50721551826916
2019-03-31,2019-03-31,290.2477156568671,170.24225925282846,327.5462450430049,290.2477156568671,290.2477156568671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.74816738354175,-42.74816738354175,-42.74816738354175,0.0,0.0,0.0,-42.74816738354175,-42.74816738354175,-42.74816738354175,0.0,0.0,0.0,247.49954827332536
2019-04-30,2019-04-30,287.7797727496289,147.0976940053092,304.98052962046967,287.7797727496289,287.7797727496289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.61120008633031,-64.61120008633031,-64.61120008633031,0.0,0.0,0.0,-64.61120008633031,-64.61120008633031,-64.61120008633031,0.0,0.0,0.0,223.16857266329856
2019-05-31,2019-05-31,285.2295650761935,165.36745150015506,320.77748945666104,285.2295650761935,285.2295650761935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46.57161992442823,-46.57161992442823,-46.57161992442823,0.0,0.0,0.0,-46.57161992442823,-46.57161992442823,-46.57161992442823,0.0,0.0,0.0,238.6579451517653
2019-06-30,2019-06-30,282.76162216302674,194.80390798528407,357.39149057582244,282.76162216302674,282.76162216302674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.659932652935144,-10.659932652935144,-10.659932652935144,0.0,0.0,0.0,-10.659932652935144,-10.659932652935144,-10.659932652935144,0.0,0.0,0.0,272.1016895100916
2019-07-31,2019-07-31,280.211414485661,32.7945041637104,191.2593931252971,280.211414485661,280.211414485661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-169.44627807408472,-169.44627807408472,-169.44627807408472,0.0,0.0,0.0,-169.44627807408472,-169.44627807408472,-169.44627807408472,0.0,0.0,0.0,110.7651364115763
2019-08-31,2019-08-31,277.6612068007684,34.25430205162831,188.668384253273,277.6612068007684,277.6612068007684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-168.5702407378254,-168.5702407378254,-168.5702407378254,0.0,0.0,0.0,-168.5702407378254,-168.5702407378254,-168.5702407378254,0.0,0.0,0.0,109.09096606294301
2019-09-30,2019-09-30,275.1932638745649,103.53917670018883,256.572110760102,275.1932638745649,275.1932638745649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-96.85344477255295,-96.85344477255295,-96.85344477255295,0.0,0.0,0.0,-96.85344477255295,-96.85344477255295,-96.85344477255295,0.0,0.0,0.0,178.33981910201192
2019-10-31,2019-10-31,272.6430561841546,130.41856774378624,280.6430868645162,272.6430561841546,272.6430561841546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.90563055947317,-66.90563055947317,-66.90563055947317,0.0,0.0,0.0,-66.90563055947317,-66.90563055947317,-66.90563055947317,0.0,0.0,0.0,205.73742562468144
2019-11-30,2019-11-30,270.1751132482186,352.6789312879653,499.29529184962496,270.1751132482186,270.1751132482186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.7624577717359,155.7624577717359,155.7624577717359,0.0,0.0,0.0,155.7624577717359,155.7624577717359,155.7624577717359,0.0,0.0,0.0,425.93757101995453
2019-12-31,2019-12-31,267.624905540285,65.89050644385883,217.7206558180272,267.624905540285,267.624905540285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-122.05256423041673,-122.05256423041673,-122.05256423041673,0.0,0.0,0.0,-122.05256423041673,-122.05256423041673,-122.05256423041673,0.0,0.0,0.0,145.57234130986825
2020-01-31,2020-01-31,265.0746978271464,300.3977152479545,451.85968739388875,265.0746978271464,265.0746978271464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.59971091654113,111.59971091654113,111.59971091654113,0.0,0.0,0.0,111.59971091654113,111.59971091654113,111.59971091654113,0.0,0.0,0.0,376.67440874368754
