ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-08,2015-01-08,0.08987188238462868,0.09855337277349725,0.41065652858992924,0.08987188238462868,0.08987188238462868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15985127547079978,0.15985127547079978,0.15985127547079978,0.0,0.0,0.0,0.15985127547079978,0.15985127547079978,0.15985127547079978,0.0,0.0,0.0,0.24972315785542845
2015-01-15,2015-01-15,0.08885122660328795,0.0018097494515033877,0.3096683206766719,0.08885122660328795,0.08885122660328795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06437541041734299,0.06437541041734299,0.06437541041734299,0.0,0.0,0.0,0.06437541041734299,0.06437541041734299,0.06437541041734299,0.0,0.0,0.0,0.15322663702063094
2015-01-22,2015-01-22,0.08783057082194723,-0.09900990386874454,0.19963791211053583,0.08783057082194723,0.08783057082194723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040620116609216717,-0.040620116609216717,-0.040620116609216717,0.0,0.0,0.0,-0.040620116609216717,-0.040620116609216717,-0.040620116609216717,0.0,0.0,0.0,0.04721045421273051
2015-01-29,2015-01-29,0.08680991504060649,-0.14833605061889424,0.14671091719147566,0.08680991504060649,0.08680991504060649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.085823804791793,-0.085823804791793,-0.085823804791793,0.0,0.0,0.0,-0.085823804791793,-0.085823804791793,-0.085823804791793,0.0,0.0,0.0,0.000986110248813496
2015-02-05,2015-02-05,0.08578925925926577,-0.11546050769414017,0.19111421502115966,0.08578925925926577,0.08578925925926577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.060643015219654185,-0.060643015219654185,-0.060643015219654185,0.0,0.0,0.0,-0.060643015219654185,-0.060643015219654185,-0.060643015219654185,0.0,0.0,0.0,0.025146244039611583
2015-02-12,2015-02-12,0.08476860347792504,-0.08781589678765876,0.21529038617045929,0.08476860347792504,0.08476860347792504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017548907530653194,-0.017548907530653194,-0.017548907530653194,0.0,0.0,0.0,-0.017548907530653194,-0.017548907530653194,-0.017548907530653194,0.0,0.0,0.0,0.06721969594727185
2015-02-19,2015-02-19,0.08374794774050472,-0.07854199337436209,0.22173412473260362,0.08374794774050472,0.08374794774050472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014317963778148077,-0.014317963778148077,-0.014317963778148077,0.0,0.0,0.0,-0.014317963778148077,-0.014317963778148077,-0.014317963778148077,0.0,0.0,0.0,0.06942998396235664
2015-02-26,2015-02-26,0.08272729200308437,-0.12737938003001437,0.17551669780341372,0.08272729200308437,0.08272729200308437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053229150555333914,-0.053229150555333914,-0.053229150555333914,0.0,0.0,0.0,-0.053229150555333914,-0.053229150555333914,-0.053229150555333914,0.0,0.0,0.0,0.02949814144775046
2015-03-05,2015-03-05,0.08170663626566403,-0.15326322934179498,0.15899721728084135,0.08170663626566403,0.08170663626566403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07896716051688883,-0.07896716051688883,-0.07896716051688883,0.0,0.0,0.0,-0.07896716051688883,-0.07896716051688883,-0.07896716051688883,0.0,0.0,0.0,0.0027394757487751997
2015-03-12,2015-03-12,0.08068598052824369,-0.10867528374469161,0.20276489624873728,0.08068598052824369,0.08068598052824369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.036352469606258084,-0.036352469606258084,-0.036352469606258084,0.0,0.0,0.0,-0.036352469606258084,-0.036352469606258084,-0.036352469606258084,0.0,0.0,0.0,0.044333510921985606
