ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-01,2018-01-01,512.3823409275411,-55.688462494710464,298.2236255532532,512.3823409275411,512.3823409275411,-241.8426779668143,-241.8426779668143,-241.8426779668143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-392.73272126514786,-392.73272126514786,-392.73272126514786,-241.8426779668143,-241.8426779668143,-241.8426779668143,-150.89004329833358,-150.89004329833358,-150.89004329833358,0.0,0.0,0.0,119.64961966239326
2018-01-08,2018-01-08,509.03597012727346,169.71956391158355,541.0617809901662,509.03597012727346,509.03597012727346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-162.21062514790205,-162.21062514790205,-162.21062514790205,0.0,0.0,0.0,-162.21062514790205,-162.21062514790205,-162.21062514790205,0.0,0.0,0.0,346.8253449793714
2018-01-15,2018-01-15,505.6895993270058,245.9417331220741,604.8495862141871,505.6895993270058,505.6895993270058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.06350714878587,-75.06350714878587,-75.06350714878587,0.0,0.0,0.0,-75.06350714878587,-75.06350714878587,-75.06350714878587,0.0,0.0,0.0,430.6260921782199
2018-01-22,2018-01-22,502.3432285267381,348.1768390244396,717.159883235112,502.3432285267381,502.3432285267381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.61987611524672,34.61987611524672,34.61987611524672,0.0,0.0,0.0,34.61987611524672,34.61987611524672,34.61987611524672,0.0,0.0,0.0,536.9631046419848
2018-01-29,2018-01-29,498.9968577264704,397.69386430472974,734.1673800894022,498.9968577264704,498.9968577264704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.56537519187067,66.56537519187067,66.56537519187067,0.0,0.0,0.0,66.56537519187067,66.56537519187067,66.56537519187067,0.0,0.0,0.0,565.5622329183411
2018-02-05,2018-02-05,495.65048692620275,327.3946032086983,671.6431309831719,495.65048692620275,495.65048692620275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1694763449728494,-2.1694763449728494,-2.1694763449728494,0.0,0.0,0.0,-2.1694763449728494,-2.1694763449728494,-2.1694763449728494,0.0,0.0,0.0,493.4810105812299
2018-02-12,2018-02-12,492.3041161282568,223.90939361128667,572.5861544828539,492.3041161282568,492.3041161282568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-95.78126311029646,-95.78126311029646,-95.78126311029646,0.0,0.0,0.0,-95.78126311029646,-95.78126311029646,-95.78126311029646,0.0,0.0,0.0,396.5228530179603
2018-02-19,2018-02-19,488.9577453303108,196.4871744772629,544.2749893209507,488.9577453303108,488.9577453303108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120.90372113485465,-120.90372113485465,-120.90372113485465,0.0,0.0,0.0,-120.90372113485465,-120.90372113485465,-120.90372113485465,0.0,0.0,0.0,368.0540241954561
2018-02-26,2018-02-26,485.6113745323649,243.96513280966334,610.3702785097765,485.6113745323649,485.6113745323649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60.147932727025456,-60.147932727025456,-60.147932727025456,0.0,0.0,0.0,-60.147932727025456,-60.147932727025456,-60.147932727025456,0.0,0.0,0.0,425.4634418053394
2018-03-05,2018-03-05,482.2650037344188,329.01864916436693,672.2075447684053,482.2650037344188,482.2650037344188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88565525503255,19.88565525503255,19.88565525503255,0.0,0.0,0.0,19.88565525503255,19.88565525503255,19.88565525503255,0.0,0.0,0.0,502.15065898945136
