ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-01,2018-01-01,16.610585052640737,-13.254513194990924,19.30682232718959,16.610585052640737,16.610585052640737,-17.541400535922936,-17.541400535922936,-17.541400535922936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.107896354399449,-13.107896354399449,-13.107896354399449,-17.541400535922936,-17.541400535922936,-17.541400535922936,4.433504181523489,4.433504181523489,4.433504181523489,0.0,0.0,0.0,3.502688698241288
2018-01-08,2018-01-08,16.47363248329201,1.0219578558996985,35.33535608073912,16.47363248329201,16.47363248329201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7649384828213107,0.7649384828213107,0.7649384828213107,0.0,0.0,0.0,0.7649384828213107,0.7649384828213107,0.7649384828213107,0.0,0.0,0.0,17.238570966113322
2018-01-15,2018-01-15,16.33667991394329,-5.3607667518288435,27.760251879746626,16.33667991394329,16.33667991394329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.680665615957127,-4.680665615957127,-4.680665615957127,0.0,0.0,0.0,-4.680665615957127,-4.680665615957127,-4.680665615957127,0.0,0.0,0.0,11.656014297986161
2018-01-22,2018-01-22,16.199727344594564,-7.762588190079929,26.995814253836645,16.199727344594564,16.199727344594564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.443819059207548,-7.443819059207548,-7.443819059207548,0.0,0.0,0.0,-7.443819059207548,-7.443819059207548,-7.443819059207548,0.0,0.0,0.0,8.755908285387015
2018-01-29,2018-01-29,16.062774775245842,-6.961241704164428,26.21427522018933,16.062774775245842,16.062774775245842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.067521015518861,-6.067521015518861,-6.067521015518861,0.0,0.0,0.0,-6.067521015518861,-6.067521015518861,-6.067521015518861,0.0,0.0,0.0,9.995253759726982
2018-02-05,2018-02-05,15.925822205897118,-3.9553541318538663,29.102585531583614,15.925822205897118,15.925822205897118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7194662354180057,-3.7194662354180057,-3.7194662354180057,0.0,0.0,0.0,-3.7194662354180057,-3.7194662354180057,-3.7194662354180057,0.0,0.0,0.0,12.206355970479112
2018-02-12,2018-02-12,15.788869636607734,-4.345828302843036,27.631831711262155,15.788869636607734,15.788869636607734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.004453650474993,-4.004453650474993,-4.004453650474993,0.0,0.0,0.0,-4.004453650474993,-4.004453650474993,-4.004453650474993,0.0,0.0,0.0,11.78441598613274
2018-02-19,2018-02-19,15.651917067318347,-7.416470806480565,25.650322988461316,15.651917067318347,15.651917067318347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.376666748733795,-6.376666748733795,-6.376666748733795,0.0,0.0,0.0,-6.376666748733795,-6.376666748733795,-6.376666748733795,0.0,0.0,0.0,9.275250318584552
2018-02-26,2018-02-26,15.514964498028961,-7.086046397403541,25.879659592846505,15.514964498028961,15.514964498028961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.815736270060772,-6.815736270060772,-6.815736270060772,0.0,0.0,0.0,-6.815736270060772,-6.815736270060772,-6.815736270060772,0.0,0.0,0.0,8.699228227968188
2018-03-05,2018-03-05,15.378011928739577,-4.49496999711408,30.40009620740669,15.378011928739577,15.378011928739577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.884583077134251,-2.884583077134251,-2.884583077134251,0.0,0.0,0.0,-2.884583077134251,-2.884583077134251,-2.884583077134251,0.0,0.0,0.0,12.493428851605326
