ds,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano Novo,Ano Novo_lower,Ano Novo_upper,Black friday,Black friday_lower,Black friday_upper,Dia das crianças,Dia das crianças_lower,Dia das crianças_upper,Dia das mães,Dia das mães_lower,Dia das mães_upper,Dia dos namorados,Dia dos namorados_lower,Dia dos namorados_upper,Dia dos pais,Dia dos pais_lower,Dia dos pais_upper,Natal,Natal_lower,Natal_upper,Páscoa,Páscoa_lower,Páscoa_upper,additive_terms,additive_terms_lower,additive_terms_upper,holidays,holidays_lower,holidays_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-08,2015-01-08,-2.432841555290609,-7.851895103006198,5.193077314317115,-2.432841555290609,-2.432841555290609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4559375513298598,1.4559375513298598,1.4559375513298598,0.0,0.0,0.0,1.4559375513298598,1.4559375513298598,1.4559375513298598,0.0,0.0,0.0,-0.9769040039607491
2015-01-15,2015-01-15,-2.289297979241651,-8.298685086917349,4.7608579245273495,-2.289297979241651,-2.289297979241651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8190746467911614,0.8190746467911614,0.8190746467911614,0.0,0.0,0.0,0.8190746467911614,0.8190746467911614,0.8190746467911614,0.0,0.0,0.0,-1.4702233324504894
2015-01-22,2015-01-22,-2.1457544031926927,-9.068494267009402,3.8802514222844406,-2.1457544031926927,-2.1457544031926927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009953306423018313,-0.009953306423018313,-0.009953306423018313,0.0,0.0,0.0,-0.009953306423018313,-0.009953306423018313,-0.009953306423018313,0.0,0.0,0.0,-2.155707709615711
2015-01-29,2015-01-29,-2.002210827143734,-9.851006791194246,3.503381314631386,-2.002210827143734,-2.002210827143734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6647364822700964,-0.6647364822700964,-0.6647364822700964,0.0,0.0,0.0,-0.6647364822700964,-0.6647364822700964,-0.6647364822700964,0.0,0.0,0.0,-2.6669473094138305
2015-02-05,2015-02-05,-1.8586672510947764,-9.299286840818743,3.5622366568857102,-1.8586672510947764,-1.8586672510947764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8093917112303022,-0.8093917112303022,-0.8093917112303022,0.0,0.0,0.0,-0.8093917112303022,-0.8093917112303022,-0.8093917112303022,0.0,0.0,0.0,-2.6680589623250786
2015-02-12,2015-02-12,-1.715123675045818,-8.539838177153229,3.859755394940952,-1.715123675045818,-1.715123675045818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45190555876815675,-0.45190555876815675,-0.45190555876815675,0.0,0.0,0.0,-0.45190555876815675,-0.45190555876815675,-0.45190555876815675,0.0,0.0,0.0,-2.1670292338139747
2015-02-19,2015-02-19,-1.5715800990196258,-7.907779211439186,5.1336674213895686,-1.5715800990196258,-1.5715800990196258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07198753361071246,-0.07198753361071246,-0.07198753361071246,0.0,0.0,0.0,-0.07198753361071246,-0.07198753361071246,-0.07198753361071246,0.0,0.0,0.0,-1.6435676326303383
2015-02-26,2015-02-26,-1.4280365229934338,-8.562612996890943,5.550619878698428,-1.4280365229934338,-1.4280365229934338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2585822588937579,-0.2585822588937579,-0.2585822588937579,0.0,0.0,0.0,-0.2585822588937579,-0.2585822588937579,-0.2585822588937579,0.0,0.0,0.0,-1.6866187818871916
2015-03-05,2015-03-05,-1.2844929469672415,-9.020138421298466,4.298743409557413,-1.2844929469672415,-1.2844929469672415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0799867284740463,-1.0799867284740463,-1.0799867284740463,0.0,0.0,0.0,-1.0799867284740463,-1.0799867284740463,-1.0799867284740463,0.0,0.0,0.0,-2.364479675441288
2015-03-12,2015-03-12,-1.1409493709410494,-9.916047259753205,3.558327231316175,-1.1409493709410494,-1.1409493709410494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9050707331193193,-1.9050707331193193,-1.9050707331193193,0.0,0.0,0.0,-1.9050707331193193,-1.9050707331193193,-1.9050707331193193,0.0,0.0,0.0,-3.0460201040603687
